Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bahrain,BHR,"Population, total",SP.POP.TOTL,0.162427,0.167894,0.173144,0.17814,0.182887,0.187431,0.19178,0.196063,0.200653,0.206043,0.212605,0.220312,0.229155,0.239527,0.251911,0.266543,0.283752,0.303175,0.323473,0.342798,0.359888,0.37412,0.38595,0.396454,0.407227,0.41943,0.433482,0.448973,0.465202,0.48109,0.495931,0.509765,0.523087,0.536213,0.549588,0.563699,0.578668,0.59493,0.613702,0.636545,0.664614,0.697549,0.735148,0.778711,0.829848,0.889168,0.958414,1.035891,1.11459,1.185029,1.240862,1.278269,1.300217,1.315411,1.336397,1.371855,1.425171,1.492584
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,0.109528,0.115108,0.121083,0.127333,0.133698,0.140054,0.146366,0.152609,0.158627,0.164248,0.169354,0.173863,0.177839,0.181488,0.185099,0.188882,0.192902,0.197111,0.201513,0.206032,0.210661,0.215396,0.220275,0.225187,0.230015,0.234687,0.239131,0.243393,0.247579,0.251849,0.256336,0.261116,0.266134,0.271165,0.275895,0.28015,0.28379,0.28697,0.29006,0.293572,0.29789,0.303135,0.309157,0.315746,0.322526,0.329249,0.33583,0.342328,0.348676,0.354856,0.360832,0.366568,0.372039,0.37724,0.382169,0.386838,0.391232,0.395361
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3.225668,3.288602,3.353226,3.417574,3.478995,3.53564,3.586634,3.632669,3.675452,3.717466,3.760527,3.805285,3.851151,3.897255,3.942223,3.985103,4.025265,4.063191,4.10035,4.138819,4.179855,4.222511,4.26531,4.308106,4.350746,4.39213,4.435504,4.478519,4.508056,4.506653,4.463422,4.371603,4.239154,4.087999,3.948816,3.843712,3.780378,3.752431,3.750485,3.759118,3.766706,3.771284,3.775807,3.779247,3.781287,3.78153,3.779468,3.774,3.763599,3.746561,3.722084,3.688865,3.6482,3.604999,3.566002,3.535961,3.516816,3.507017
Belarus,BLR,"Population, total",SP.POP.TOTL,8.198,8.271216,8.351928,8.437232,8.524224,8.61,8.696496,8.785648,8.874552,8.960304,9.04,9.115576,9.188968,9.257272,9.317584,9.367,9.411,9.463,9.525,9.584,9.643,9.71,9.776,9.843,9.91,9.975,10.043,10.111,10.14,10.17,10.189,10.194,10.216,10.239,10.227,10.194,10.16,10.117,10.069,10.026738,9.97961,9.928549,9.865548,9.796749,9.730146,9.663915,9.604924,9.560953,9.527985,9.506765,9.490583,9.473172,9.464495,9.465997,9.474511,9.489616,9.501534,9.507875
Belize,BLZ,"Population, total",SP.POP.TOTL,0.092064,0.094703,0.097384,0.100164,0.103069,0.106119,0.109347,0.112692,0.116061,0.119261,0.122182,0.124793,0.12715,0.129294,0.131307,0.13326,0.135147,0.136989,0.138965,0.141305,0.144155,0.147566,0.1515,0.155822,0.160347,0.164921,0.169568,0.17432,0.179028,0.183469,0.187552,0.191126,0.194317,0.197616,0.201674,0.206963,0.213676,0.221606,0.230284,0.239026,0.247315,0.254984,0.262206,0.26913,0.276089,0.283277,0.290747,0.298407,0.306165,0.313929,0.321608,0.329192,0.336701,0.344181,0.351694,0.359288,0.366954,0.374681
Bermuda,BMU,"Population, total",SP.POP.TOTL,0.0444,0.0455,0.0466,0.0477,0.0489,0.0501,0.051,0.052,0.053,0.054,0.055,0.0546,0.0542,0.0538,0.0534,0.053,0.0532,0.0534,0.0536,0.0538,0.05467,0.05505,0.055449,0.05593,0.056423,0.056898,0.057382,0.057849,0.058347,0.058841,0.059326,0.059021,0.058595,0.05891,0.05932,0.059746,0.060129,0.060497,0.060943,0.061285,0.061833,0.062504,0.062912,0.063325,0.06374,0.064154,0.064523,0.064888,0.065273,0.065636,0.065124,0.064564,0.064798,0.065001,0.065139,0.065239,0.065341,0.065441
Bolivia,BOL,"Population, total",SP.POP.TOTL,3.693449,3.764813,3.838097,3.913395,3.990857,4.07059,4.152668,4.237125,4.324064,4.41359,4.505778,4.600591,4.698083,4.798509,4.902168,5.009257,5.119833,5.233677,5.350322,5.469123,5.589575,5.711599,5.835182,5.95996,6.085496,6.21155,6.337893,6.464732,6.592787,6.723046,6.856244,6.992521,7.131707,7.273825,7.418861,7.566714,7.717443,7.870855,8.026254,8.182712,8.339512,8.496375,8.653345,8.81042,8.967741,9.125409,9.283334,9.441444,9.599855,9.758748,9.918242,10.078343,10.239004,10.400264,10.562159,10.724705,10.887882,11.0516
Brazil,BRA,"Population, total",SP.POP.TOTL,72.207554,74.351763,76.573248,78.854019,81.168654,83.49802,85.837799,88.191378,90.557064,92.935072,95.326793,97.728961,100.143598,102.584278,105.069367,107.6121,110.213082,112.867867,115.577669,118.342626,121.159761,124.030908,126.947365,129.882321,132.800684,135.676281,138.499464,141.273488,144.001542,146.691981,149.352145,151.976577,154.564278,157.132682,159.705123,162.296612,164.913306,167.545164,170.17064,172.759243,175.287587,177.75067,180.151021,182.482149,184.738458,186.917361,189.012412,191.026637,192.979029,194.895996,196.796269,198.686688,200.560983,202.408632,204.213133,205.962108,207.652865,209.288278
Barbados,BRB,"Population, total",SP.POP.TOTL,0.230939,0.231678,0.232586,0.233587,0.234547,0.235374,0.236044,0.236621,0.237199,0.237913,0.238848,0.240035,0.241441,0.242976,0.244539,0.246034,0.247444,0.248784,0.250032,0.251177,0.252194,0.25308,0.253841,0.254518,0.255193,0.255924,0.256736,0.257611,0.258527,0.259458,0.260374,0.261275,0.262184,0.263089,0.264015,0.264959,0.265942,0.266945,0.26795,0.268922,0.269847,0.270685,0.271478,0.272258,0.273091,0.274009,0.275039,0.27615,0.277319,0.27847,0.279569,0.280601,0.281585,0.282509,0.283385,0.284217,0.284996,0.285719
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,0.081745,0.085596,0.089516,0.093576,0.097848,0.102425,0.107316,0.112494,0.11795,0.123653,0.129583,0.135726,0.142073,0.14856,0.155109,0.161671,0.168224,0.174773,0.181257,0.187656,0.193949,0.200085,0.206128,0.212136,0.218227,0.224512,0.230972,0.237622,0.244458,0.251514,0.258785,0.266274,0.273963,0.281751,0.289525,0.297192,0.304699,0.312038,0.319222,0.326289,0.333241,0.340117,0.346867,0.353389,0.359523,0.365158,0.37025,0.374864,0.379252,0.383772,0.388662,0.394013,0.399748,0.405716,0.411704,0.417542,0.423196,0.428697
Bhutan,BTN,"Population, total",SP.POP.TOTL,0.223288,0.228918,0.234706,0.240778,0.247325,0.254464,0.262244,0.270622,0.279515,0.288774,0.298301,0.308053,0.318045,0.328312,0.338943,0.349982,0.361455,0.373324,0.385384,0.39739,0.409172,0.42038,0.43105,0.441847,0.45372,0.467178,0.482952,0.500437,0.517273,0.530257,0.53728,0.537284,0.531525,0.523117,0.516503,0.514877,0.519282,0.528754,0.542155,0.557543,0.573416,0.5896,0.606399,0.623434,0.640282,0.656639,0.672228,0.686958,0.70095,0.714458,0.727641,0.74051,0.752967,0.764961,0.776448,0.787386,0.797765,0.80761
Botswana,BWA,"Population, total",SP.POP.TOTL,0.524552,0.537249,0.55084,0.565353,0.580799,0.59719,0.614613,0.633154,0.652843,0.67364,0.695597,0.718639,0.742835,0.768512,0.796095,0.82584,0.857855,0.891926,0.927585,0.964166,1.001158,1.038397,1.075889,1.113539,1.151292,1.189114,1.22681,1.264314,1.301818,1.339624,1.377912,1.416731,1.455833,1.494693,1.532622,1.569094,1.60406,1.637635,1.669625,1.699862,1.72834,1.754935,1.779953,1.804339,1.82933,1.855852,1.884238,1.914414,1.946351,1.979882,2.014866,2.051339,2.089315,2.128507,2.168573,2.209197,2.25026,2.291661
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1.503508,1.529227,1.556661,1.585763,1.616516,1.648833,1.682885,1.718603,1.755344,1.79222,1.828709,1.864598,1.900317,1.936841,1.975521,2.017372,2.062405,2.110457,2.162249,2.218575,2.279821,2.346797,2.418844,2.493135,2.565803,2.634232,2.696982,2.755244,2.812244,2.872668,2.93978,3.014624,3.095807,3.181222,3.26767,3.352767,3.435821,3.517309,3.597385,3.676508,3.754986,3.832203,3.907612,3.981665,4.055036,4.12791,4.201758,4.2758,4.345386,4.40423,4.448525,4.476153,4.490416,4.499653,4.515392,4.5461,4.594621,4.65908
Canada,CAN,"Population, total",SP.POP.TOTL,17.909009,18.271,18.614,18.964,19.325,19.678,20.048,20.412,20.744,21.028,21.324,21.645535,21.993631,22.369408,22.774087,23.209,23.518,23.796,24.036,24.277,24.593,24.9,25.202,25.456,25.702,25.942,26.204,26.55,26.895,27.379,27.791,28.171682,28.519597,28.83341,29.111906,29.354,29.6719,29.9872,30.2479,30.4992,30.7697,31.0819,31.362,31.676,31.995,32.312,32.570505,32.887928,33.245773,33.628571,34.005274,34.34278,34.750545,35.15237,35.535348,35.832513,36.264604,36.708083
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,91.401583,92.237118,93.01489,93.845749,94.722599,95.447065,96.148635,97.043587,97.882394,98.60214,99.133296,99.638983,100.363597,101.120519,101.946256,102.862489,103.770134,104.589313,105.304312,105.924838,106.564905,107.187982,107.770794,108.326895,108.853181,109.360296,109.847148,110.29668,110.688533,110.80138,110.74576,110.290445,110.005636,110.081461,110.01957,109.913216,109.563097,109.459093,109.207205,109.102354,108.405522,107.800399,107.097577,106.760768,106.466116,106.173766,105.901322,105.504531,105.126686,104.924372,104.543801,104.174038,103.935318,103.713726,103.496179,103.257751,102.994343,102.727102
Switzerland,CHE,"Population, total",SP.POP.TOTL,5.327827,5.434294,5.573815,5.694247,5.789228,5.856472,5.918002,5.991785,6.067714,6.136387,6.180877,6.213399,6.260956,6.307347,6.341405,6.338632,6.302504,6.281174,6.281738,6.294365,6.319408,6.354074,6.391309,6.418773,6.441865,6.470365,6.504124,6.545106,6.593386,6.646912,6.715519,6.799978,6.875364,6.938265,6.993795,7.040687,7.07185,7.088906,7.110001,7.143991,7.18425,7.229854,7.284753,7.339001,7.389625,7.437115,7.483934,7.551117,7.647675,7.743831,7.824909,7.912398,7.996861,8.089346,8.188649,8.282396,8.373338,8.466017
Channel Islands,CHI,"Population, total",SP.POP.TOTL,0.10942,0.110399,0.111457,0.112595,0.113773,0.114995,0.116227,0.117474,0.118726,0.119972,0.121197,0.122413,0.123614,0.124725,0.125682,0.126415,0.126902,0.127183,0.12739,0.127692,0.128212,0.128981,0.129979,0.131156,0.132453,0.133808,0.13523,0.136716,0.138187,0.13953,0.140671,0.141568,0.142258,0.142819,0.143384,0.144046,0.144829,0.145715,0.146671,0.147687,0.148725,0.149793,0.150901,0.152038,0.15317,0.154294,0.155411,0.156513,0.157581,0.158603,0.159581,0.160497,0.161358,0.16218,0.162969,0.163758,0.164541,0.165314
Chile,CHL,"Population, total",SP.POP.TOTL,7.716625,7.890156,8.067136,8.247415,8.430838,8.617077,8.806137,8.997325,9.188822,9.378243,9.563865,9.745189,9.922558,10.096295,10.267056,10.435534,10.601836,10.766419,10.930783,11.096868,11.266226,11.439144,11.615836,11.797534,11.985658,12.181028,12.384108,12.594145,12.809025,13.025797,13.242132,13.457244,13.671033,13.882668,14.091389,14.296613,14.497826,14.694835,14.887756,15.076952,15.262754,15.444969,15.623635,15.799542,15.973778,16.147064,16.319792,16.491687,16.661942,16.829442,16.993354,17.153357,17.309746,17.462982,17.613798,17.762681,17.909754,18.054726
China,CHN,"Population, total",SP.POP.TOTL,667.07,660.33,665.77,682.335,698.355,715.185,735.4,754.55,774.51,796.025,818.315,841.105,862.03,881.94,900.35,916.395,930.685,943.455,956.165,969.005,981.235,993.885,1008.63,1023.31,1036.825,1051.04,1066.79,1084.035,1101.63,1118.65,1135.185,1150.78,1164.97,1178.44,1191.835,1204.855,1217.55,1230.075,1241.935,1252.735,1262.645,1271.85,1280.4,1288.4,1296.075,1303.72,1311.02,1317.885,1324.655,1331.26,1337.705,1344.13,1350.695,1357.38,1364.27,1371.22,1378.665,1386.395
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,3.558988,3.694205,3.841071,3.996941,4.157965,4.321791,4.487204,4.656353,4.834279,5.027971,5.242395,5.479338,5.737281,6.013862,6.305287,6.608609,6.922982,7.248828,7.585914,7.934279,8.293675,8.664057,9.044473,9.432731,9.826055,10.222558,10.620267,11.019651,11.42426,11.839243,12.267754,12.710008,13.163019,13.622731,14.083611,14.54082,14.995249,15.445986,15.884552,16.300233,16.686561,17.040152,17.366517,17.679355,17.997738,18.336303,18.699435,19.085941,19.497986,19.936366,20.401331,20.895311,21.418603,21.966312,22.53135,23.108472,23.695919,24.29475
Cameroon,CMR,"Population, total",SP.POP.TOTL,5.176268,5.285231,5.399922,5.520332,5.646316,5.777834,5.915123,6.058539,6.208282,6.364569,6.527635,6.697745,6.875228,7.060603,7.254468,7.457362,7.669445,7.890969,8.122529,8.364835,8.618354,8.883016,9.158566,9.445003,9.742263,10.050023,10.3683,10.696274,11.031817,11.37216,11.715218,12.060729,12.408931,12.758881,13.10966,13.460994,13.812472,14.165423,14.52357,14.891891,15.274234,15.671927,16.084886,16.513822,16.959081,17.420795,17.899562,18.395389,18.907008,19.432541,19.970495,20.520447,21.082383,21.655715,22.239904,22.834522,23.439189,24.053727
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,15.248251,15.637733,16.041263,16.46193,16.903923,17.369883,17.861881,18.378214,18.913203,19.458904,20.009935,20.562865,21.12014,21.689239,22.280923,22.902319,23.559071,24.24755,24.954655,25.661884,26.357462,27.039468,27.717337,28.404876,29.121474,29.883446,30.685824,31.529823,32.444156,33.465441,34.614581,35.914825,37.346147,38.833595,40.273701,41.595744,42.770544,43.830146,44.840529,45.898667,47.076387,48.394338,49.835756,51.390033,53.034217,54.751476,56.543011,58.417562,60.373608,62.409435,64.523263,66.713597,68.978682,71.316033,73.72286,76.196619,78.736153,81.339988
