"","","","","","001","","001","","001","","002","","002","","002","","003","","003","","003","","004","","004","","004","","005","","005","","005","","006","","006","","006","","007","","007","","007","","008","","008","","008","","009","","009","","009",""
"","","","","/実数・移動率・日本人人口","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　都道府県（自都市）内移動者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）からの転入者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　他都道府県（他市町村）への転出者","","実数　転入超過","","実数　転入超過","","実数　転入超過","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　都道府県（自都市）内移動者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）からの転入者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　他都道府県（他市町村）への転出者【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","移動率　転入超過【％】","","日本人人口【千人】","","日本人人口【千人】","","日本人人口【千人】",""
"","","","","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057","","050","","054","","057",""
"国籍 コード","国籍","全国・都道府県・大都市4 コード","全国・都道府県・大都市4","/推移2","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈","平成２７年","注釈","平成２８年","注釈","平成２７年～２８年の増減","注釈"
"61000","日本人移動者","21000","岐阜県","","28704","","27769","","-935","","25858","","25459","","-399","","31052","","30490","","-562","","-5194","","-5031","","163","","1.44","","1.40","","***","","1.30","","1.28","","***","","1.56","","1.54","","***","","-0.26","","-0.25","","***","","1996","","1985","","***",""
"61000","日本人移動者","22000","静岡県","","71424","","68762","","-2662","","50639","","49211","","-1428","","56845","","55601","","-1244","","-6206","","-6390","","-184","","1.96","","1.90","","***","","1.39","","1.36","","***","","1.56","","1.53","","***","","-0.17","","-0.18","","***","","3640","","3623","","***",""
"61000","日本人移動者","23000","愛知県","","187125","","181272","","-5853","","114416","","111160","","-3256","","106094","","104895","","-1199","","8322","","6265","","-2057","","2.56","","2.48","","***","","1.56","","1.52","","***","","1.45","","1.43","","***","","0.11","","0.09","","***","","7315","","7324","","***",""
"61000","日本人移動者","24000","三重県","","24018","","23288","","-730","","26736","","25728","","-1008","","30954","","29325","","-1629","","-4218","","-3597","","621","","1.35","","1.31","","***","","1.50","","1.45","","***","","1.74","","1.65","","***","","-0.24","","-0.20","","***","","1784","","1775","","***",""
"61000","日本人移動者","25000","滋賀県","","20155","","18989","","-1166","","24916","","24656","","-260","","26903","","25362","","-1541","","-1987","","-706","","1281","","1.45","","1.36","","***","","1.79","","1.77","","***","","1.93","","1.82","","***","","-0.14","","-0.05","","***","","1393","","1392","","***",""
"61000","日本人移動者","26000","京都府","","51336","","49423","","-1913","","55488","","53759","","-1729","","55767","","54509","","-1258","","-279","","-750","","-471","","2.00","","1.93","","***","","2.16","","2.10","","***","","2.17","","2.13","","***","","-0.01","","-0.03","","***","","2566","","2559","","***",""
"61000","日本人移動者","27000","大阪府","","217844","","207661","","-10183","","156413","","152537","","-3876","","154117","","150743","","-3374","","2296","","1794","","-502","","2.51","","2.39","","***","","1.80","","1.76","","***","","1.77","","1.74","","***","","0.03","","0.02","","***","","8684","","8672","","***",""
"61000","日本人移動者","28000","兵庫県","","102365","","100103","","-2262","","87946","","85933","","-2013","","95355","","92693","","-2662","","-7409","","-6760","","649","","1.88","","1.84","","***","","1.61","","1.58","","***","","1.75","","1.70","","***","","-0.14","","-0.12","","***","","5456","","5438","","***",""
"61000","日本人移動者","29000","奈良県","","18597","","17463","","-1134","","23796","","23004","","-792","","27758","","26623","","-1135","","-3962","","-3619","","343","","1.37","","1.30","","***","","1.75","","1.71","","***","","2.05","","1.98","","***","","-0.29","","-0.27","","***","","1356","","1347","","***",""
"61000","日本人移動者","30000","和歌山県","","11510","","11197","","-313","","11178","","10681","","-497","","15158","","14575","","-583","","-3980","","-3894","","86","","1.20","","1.18","","***","","1.17","","1.13","","***","","1.58","","1.54","","***","","-0.42","","-0.41","","***","","959","","949","","***",""
"61000","日本人移動者","31000","鳥取県","","6860","","6347","","-513","","9028","","8672","","-356","","10531","","9982","","-549","","-1503","","-1310","","193","","1.20","","1.12","","***","","1.58","","1.53","","***","","1.85","","1.76","","***","","-0.26","","-0.23","","***","","570","","566","","***",""
